id,name,date,lat,lon,elev
221180,Dofan,Unknown,9.35,40.13,1151
221190,Fentale,1820 CE,8.985,39.906,2007
221191,Beru,Unknown,8.95,39.75,1100
221200,Kone,1820 CE,8.8105,39.6946,1380
221210,Boset,Unknown,8.558,39.475,2447
221220,Bishoftu Volcanic Field,Unknown,8.78,38.98,1850
221222,Melkassa,Unknown,8.43,39.35,1765
221230,Gedemsa,Unknown,8.363,39.172,1909
221250,Bora-Bericha-Tullu Moye,1900 CE,8.2114,39.0812,2345
221251,Unnamed,Unknown,8.013,39.062,1886
221252,East Ziway,Unknown,7.874,38.902,1889
221260,Butajiri-Silti Field,Unknown,8.05,38.35,2281
221270,Aluto,1550 CE,7.77,38.78,2335
221280,Shala,Unknown,7.4569,38.5571,2075
221290,Corbetti,396 BCE,7.193,38.39,2289
221291,Bilate River Field,Unknown,7.07,38.1,1700
221294,Northern Lake Abaya Volcanic Field,Unknown,6.76,37.97,1594
221320,Korath Range,Unknown,5.117,35.892,912
221330,Mega Volcanic Field,Unknown,3.971,38.213,1500
222001,Lake Turkana North Island,Unknown,4.0631,36.0458,490
222010,Lake Turkana Central Island,Unknown,3.496,36.0365,518
222020,Lake Turkana South Island,1888 CE,2.6364,36.5958,800
222021,Marsabit,Unknown,2.32,37.97,1707
222030,Barrier The,1921 CE,2.32,36.57,1032
222040,Namarunu,6550 BCE,1.98,36.43,817
222050,Segererua Plateau,Unknown,1.57,37.9,699
222051,Emuruangogolak,1910 CE,1.5,36.33,1285
222052,Silali,5050 BCE,1.15,36.23,1528
222053,Paka,7550 BCE,0.92,36.18,1697
222054,Korosi,Unknown,0.77,36.12,1446
222055,Ol Kokwe,Unknown,0.62,36.075,1130
222056,Nyambeni Hills,Unknown,0.23,37.87,750
222060,Menengai,6050 BCE,-0.2,36.07,2278
222070,Homa Mountain,Unknown,-0.38,34.5,1751
222071,Elmenteita Badlands,Unknown,-0.546,36.249,2126
222080,Eburru Ol Doinyo,Unknown,-0.65,36.22,2856
222090,Olkaria,1770 CE,-0.904,36.292,2434
222100,Longonot,1863 CE,-0.914,36.446,2776
222110,Suswa,Unknown,-1.151,36.357,2356
222120,Lengai Ol Doinyo,2024 CE,-2.764,35.914,2962
222130,Chyulu Hills,1855 CE,-2.68,37.88,2188
222160,Meru,1910 CE,-3.244,36.75,4550
222161,Igwisi Hills,10450 BCE,-4.889,31.933,1146
222164,Ngozi,1450 CE,-9.0036,33.552,2614
222166,Rungwe,1250 CE,-9.135,33.668,2953
222170,Kyejo,1800 CE,-9.229,33.792,2176
223001,Fort Portal,2120 BCE,0.7,30.25,1615
223002,Kyatwa,Unknown,0.45,30.25,1430
223003,Katwe-Kikorongo,Unknown,-0.08,29.92,1067
223004,Bunyaruguru,Unknown,-0.2,30.08,1554
223005,Katunga,Unknown,-0.471,30.191,1707
223020,Nyamulagira,2024 CE,-1.408,29.2,3058
223030,Nyiragongo,2024 CE,-1.52,29.25,3470
223040,Karisimbi,8050 BCE,-1.506,29.45,4490
223050,Visoke,1957 CE,-1.458,29.485,3696
223060,Muhavura,Unknown,-1.383,29.678,4103
223070,Bufumbira,Unknown,-1.304,29.683,2100
224002,San Carlos,Unknown,3.35,8.52,2260
224003,San Joaquin,Unknown,3.35,8.63,2009
224004,Santa Isabel,1923 CE,3.588,8.762,2999
224010,Cameroon,2000 CE,4.203,9.17,4095
224011,Tombel Graben,Unknown,4.758,9.717,500
224030,Oku Volcanic Field,Unknown,6.25,10.5,3011
225001,Todra Volcanic Field,Unknown,17.68,8.5,1780
225004,Tahalra Volcanic Field,Unknown,22.67,5,1467
225005,Atakor Volcanic Field,Unknown,23.33,5.83,2918
225006,Manzaz Volcanic Field,Unknown,23.92,5.83,1672
225009,Toh Tarso,Unknown,21.33,16.33,2000
225010,Tousside Tarso,Unknown,21.03,16.45,3265
225020,Voon Tarso,Unknown,20.92,17.28,3100
225021,Koussi Emi,Unknown,19.8,18.53,3415
225030,Marra Jebel,2000 BCE,12.95,24.27,3042
225040,Kutum Volcanic Field,Unknown,14.57,25.85,1779
225050,Meidob Volcanic Field,2950 BCE,15.32,26.47,2000
225060,Bayuda Volcanic Field,850 CE,18.33,32.75,670
231001,Ash Shaam Harrat,2670 BCE,32.333,37.583,1100
231040,Lunayyir Harrat,1000 CE,25.17,37.75,1370
231050,Ithnayn Harrat,Unknown,26.58,40.2,1625
231060,Khaybar Harrat,650 CE,25.5,40,2093
231070,Rahat Harrat,1256 CE,23.08,39.78,1744
231071,Kishb Harrat,Unknown,22.8,41.38,1475
231072,Birk Harrat al,Unknown,18.37,41.63,587
231080,Yar Jabal,1810 CE,17.05,42.83,305
231090,Arhab Harra of,500 CE,15.6025,44.0978,3100
231110,Haylan Jabal,1200 BCE,15.4,45.1,1550
231120,Dhamar Harras of,Unknown,14.57,44.67,3500
231160,Sawad Harra Es-,1253 CE,13.58,46.12,1737
231170,Balhaf-Bir Ali Volcanic Field,Unknown,14.067,48.3,604
231180,Bir Borhut,Unknown,15.515,50.935,464
232010,Damavand,5350 BCE,35.951,52.109,5670
233001,Grille La,Unknown,-11.47,43.33,1087
233005,Mayotte,2019 CE,-12.83,45.17,660
233010,Karthala,2007 CE,-11.75,43.38,2361
233011,Ambre-Bobaomby,Unknown,-12.6,49.15,1475
233012,Nosy-Be,Unknown,-13.32,48.48,214
233013,Ankaizina Field,Unknown,-14.3,48.67,2878
233014,Itasy Volcanic Field,6050 BCE,-19.033,46.7,1800
